abbrev,phylum,genus,species
ameu,Arthropod,Amaradix,euphorbi
anno,Arthropod,Anomiopsyllus,novomexicanensis
annu,Arthropod,Anomiopsyllus,nudatus-mexicanus
asac,Helminth,Aspicularis,ackerti
caca,Helminth,Catenotaenia,california
cape,Helminth,Catenotaenia,peromysci
citr,Helminth,Citellina,triradiata
cuau,Arthropod,Cuterebra,austeni
cune,Arthropod,Cuterebra,neomexicana
deve,Helminth,Dermatoxys,veligera
ealb,Protozoa,Eimeria,albigulae
eari,Protozoa,Eimeria,arizonensis
ebal,Protozoa,Eimeria,balphai
ecal,Protozoa,Eimeria,callospermophili
ecga,Protozoa,Echidnophaga,gallinacea
echa,Protozoa,Eimeria,chaetodipi
echi,Protozoa,Eimeria,chihuahuaensis
echo,Protozoa,Eimeria,chobotari
edip,Protozoa,Eimeria,dipodomysis
eere,Protozoa,Eimeria,eremici
ehis,Protozoa,Eimeria,hispidensis
ekno,Protozoa,Eimeria,knoxjonesi
elac,Protozoa,Eimeria,lachrymalis
elad,Protozoa,Eimeria,ladronensis
elan,Protozoa,Eimeria,langebarteli
elat,Protozoa,Eimeria,lateralis
eleu,Protozoa,Eimeria,leucopi
elio,Protozoa,Eimeria,liomysis
emer,Protozoa,Eimeria,merriami
emoh,Protozoa,Eimeria,mohavensis
ensu,Protozoa,Enderleinellus,suturalis
eony,Protozoa,Eimeria,onychomysis
epeg,Protozoa,Eimeria,perognathi
eper,Protozoa,Eimeria,peromysci
eree,Protozoa,Eimeria,reedi
esch,Protozoa,Eimeria,scholtysecki
esev,Protozoa,Eimeria,sevilletensis
etam,Protozoa,Eimeria,tamiasciurus
evil,Protozoa,Eimeria,vilasi
fapi,Arthropod,Fahrenholzia,pinnata
gope,Helminth,Gonglyonema,peromysci
hecu,Helminth,Heteroxynema,cucullatum
hede,Helminth,Heteromyoxyuris,deserti
hepo,Helminth,Heligmosomum,polygyrum
hesp,Helminth,Heteromyoxyuris,
hoar,Arthropod,Hoplopleura,arizonensis
hohe,Arthropod,Hoplopleura,hesperomydis
hoon,Arthropod,Hoplopleura,onychomydis
hore,Arthropod,Hoplopleura,reithrodontomydis
hyci,Helminth,Hymenolepis,citelli
iper,Protozoa,Isospora,peromysci
madi,Helminth,Mastophorus,dipodomis
madp,Arthropod,Mathovetaenia,dipodomi
masi,Arthropod,Malaraeus,sinomus
meal,Arthropod,Meringis,altipectin
mear,Arthropod,Meringis,arachis
meni,Arthropod,Meringis,nidi
mepa,Arthropod,Meringis,parkeri
mocl,Helminth,Moniliformis,clarki
nene,Helminth,Nematodirus,neotoma
neno,Arthropod,Neohaematopinus,neotomae
nepa,Arthropod,Neohaematopinus,pacificus
nesi,Arthropod,Neohaematopinus,spilosomae
oode,Helminth,Oochoristica,deserti
opro,Arthropod,Opisodasys,robustus-robustus
orag,Arthropod,Orchopeas,sexdentatus-agilis
orca,Arthropod,Orchopeas,caedens
orid,Arthropod,Oropsylla,idahoensis
orle,Arthropod,Orchopeas,leucopus
ormo,Arthropod,Oropsylla,montana
phma,Helminth,Physaloptera,massino
poau,Arthropod,Polyplax,auricularis
pras,Helminth,Protospirura,ascaroidea
ptco,Helminth,Pterygodermatites,coloradensis
ptdi,Helminth,Pterygodermatites,dipodomis
ralo,Helminth,Raillietina,loeweni
rare,Helminth,Raillietina,retactalis
rasa,Helminth,Raillietina,salmoni
rase,Helminth,Raillietina,selfi
syeu,Helminth,Syphacia,eutamii
sype,Helminth,Syphacia,peromysci
takr,Helminth,Taenia,krabbei
thac,Arthropod,Thrassis,aridis-campestris
thbc,Arthropod,Thrassis,bacchi-consimilis
thbp,Arthropod,Thrassis,bacchi-pansus
trdi,Helminth,Trichuris,dipodomis
trel,Helminth,Trichuris,elatoris
