date,site,season,trap_night,web.,trap_number,host_species,nk.,host_sex,feces,ecto,necrop,helminths,tissue,p_id,p_sex,p_count
1992,5pgrass,1,1,1,30,pmle,26206,f,y,n,y,y,st,madi,f,1
1992,5pgrass,1,1,1,30,pmle,26206,f,y,n,y,y,feces,nega,,
1992,5pgrass,1,1,1,41,dior,26207,m,y,n,y,y,st,madi,f,1
1992,5pgrass,1,1,1,41,dior,26207,m,y,n,y,y,feces,nega,,
1992,5pgrass,1,1,1,58,disp,26208,f,y,n,y,y,si,cape,,2
1992,5pgrass,1,1,1,58,disp,26208,f,y,n,y,y,si,hysp,,1
1992,5pgrass,1,1,1,58,disp,26208,f,y,n,y,y,feces,nega,,
1992,5pgrass,1,1,1,79,pgfv,26209,m,y,n,y,n,feces,unsp,,
1992,5pgrass,1,1,1,103,pgfv,26210,m,y,n,y,y,feces,eree,,
1992,5pgrass,1,1,1,125,dior,26211,f,y,n,y,y,feces,nega,,
1992,5pgrass,1,1,1,125,dior,26211,f,y,n,y,y,cc,trsp,f,1
1992,5pgrass,1,1,1,144,disp,26212,m,y,n,y,y,feces,ebal,,
1992,5pgrass,1,1,1,144,disp,26212,m,y,n,y,y,cc,trel,m,1
1992,5pgrass,1,1,1,144,disp,26212,m,y,n,y,y,cc,trel,f,1
1992,5pgrass,1,1,4,5,dior,26213,m,y,n,y,y,cc,hede,f,4
1992,5pgrass,1,1,4,5,dior,26213,m,y,n,y,y,feces,nega,,
1992,5pgrass,1,1,4,5,dior,26213,m,y,n,y,y,cc,trsp,f,1
1992,5pgrass,1,1,4,22,pgfv,26214,f,y,n,y,n,feces,nega,,
1992,5pgrass,1,1,4,23,dior,26215,m,y,n,y,n,feces,nega,,
1992,5pgrass,1,1,4,34,dior,26216,m,y,n,y,y,feces,nega,,
1992,5pgrass,1,1,4,34,dior,26216,m,y,n,y,y,cc,trsp,f,2
1992,5pgrass,1,1,4,56,pgfv,26217,f,y,n,y,n,feces,nega,,
1992,5pgrass,1,1,4,57,disp,26218,f,y,y,y,y,feces,ebal,,
1992,5pgrass,1,1,4,57,disp,26218,f,y,y,y,y,ecto,flea,,
1992,5pgrass,1,1,4,57,disp,26218,f,y,y,y,y,si,hysp,,1
1992,5pgrass,1,1,4,57,disp,26218,f,y,y,y,y,ecto,lice,,
1992,5pgrass,1,1,4,78,disp,26219,m,y,y,y,y,feces,ebal,,
1992,5pgrass,1,1,4,78,disp,26219,m,y,y,y,y,ecto,flea,,3
1992,5pgrass,1,1,4,78,disp,26219,m,y,y,y,y,cc,hede,f,4
1992,5pgrass,1,1,4,78,disp,26219,m,y,y,y,y,si,unce,,5
1992,5pgrass,1,1,4,91,pgfv,26220,m,y,n,n,n,feces,nega,,
1992,5pgrass,1,1,4,103,dior,26221,m,y,n,y,y,feces,nega,,
1992,5pgrass,1,1,4,103,dior,26221,m,y,n,y,y,cc,trel,f,11
1992,5pgrass,1,1,4,103,dior,26221,m,y,n,y,y,cc,trel,m,5
1992,5pgrass,1,1,4,128,pgfv,26222,f,y,n,y,n,feces,nega,,
1992,5pgrass,1,2,1,5,pgfv,26224,m,y,n,y,n,feces,nega,,
1992,5pgrass,1,2,1,11,pgfv,26225,,n,n,n,n,feces,,,
1992,5pgrass,1,2,1,11,pgfv,26226,m,y,n,y,n,feces,nega,,
1992,5pgrass,1,2,1,47,pgfv,26227,m,y,n,y,n,feces,nega,,
1992,5pgrass,1,2,1,58,pgfv,26228,m,y,n,y,n,feces,nega,,
1992,5pgrass,1,2,1,83,or,26229,f,y,n,y,y,si,hysp,l,1
1992,5pgrass,1,2,1,83,or,26229,f,y,n,y,y,feces,nega,,
1992,5pgrass,1,2,1,11,pgfv,26231,m,y,n,y,n,feces,eree,,
1992,5pgrass,1,2,1,14,dior,26233,m,y,n,y,y,cc,hede,m,2
1992,5pgrass,1,2,1,14,dior,26233,m,y,n,y,y,cc,hede,f,1
1992,5pgrass,1,2,1,14,dior,26233,m,y,n,y,y,feces,nega,,
1992,5pgrass,1,2,1,14,dior,26233,m,y,n,y,y,cc,trdi,m,1
1992,5pgrass,1,2,1,14,dior,26233,m,y,n,y,y,cc,trdi,f,1
1992,5pgrass,1,2,4,19,or,26234,m,y,n,y,y,si,cest,,
1992,5pgrass,1,2,4,19,or,26234,m,y,n,y,y,feces,nega,,
1992,5pgrass,1,2,4,19,or,26234,m,y,n,y,y,st,nema,,
1992,5pgrass,1,2,4,0,pgfv,26235,m,y,n,y,n,feces,nega,,
1992,5pgrass,1,2,4,56,spsp,26236,m,y,n,y,y,cc,citr,f,2
1992,5pgrass,1,2,4,56,spsp,26236,m,y,n,y,y,cc,citr,m,1
1992,5pgrass,1,2,4,56,spsp,26236,m,y,n,y,y,si,hyci,,1
1992,5pgrass,1,2,4,56,spsp,26236,m,y,n,y,y,st,madi,f,1
1992,5pgrass,1,2,4,56,spsp,26236,m,y,n,y,y,feces,nega,,
1992,5pgrass,1,2,4,69,dior,26237,m,y,n,y,n,feces,nega,,
1992,5pgrass,1,2,4,78,pgfv,26238,f,y,n,y,n,feces,nega,,
1992,5pgrass,1,2,4,81,disp,26239,m,y,n,y,y,feces,esch,,
1992,5pgrass,1,2,4,81,disp,26239,m,y,n,y,y,cc,tror,f,1
1992,5pgrass,1,3,1,12,pgfv,26245,m,y,n,n,n,feces,nega,,
1992,5pgrass,1,3,1,10,dior,26246,f,y,n,y,n,feces,nega,,
1992,5pgrass,1,3,4,23,dior,26247,f,y,n,y,y,feces,nega,,
1992,5pgrass,1,3,4,23,dior,26247,f,y,n,y,y,cc,trel,m,11
1992,5pgrass,1,3,4,23,dior,26247,f,y,n,y,y,cc,trel,f,2
1992,5pgrass,1,3,4,34,or,26248,f,y,n,y,n,feces,eper,,
1992,5pgrass,1,3,4,74,pgfv,26249,f,y,n,y,n,feces,nega,,
1992,5pgrass,1,3,4,80,disp,26250,m,y,y,y,y,feces,elan,,
1992,5pgrass,1,3,4,80,disp,26250,m,y,y,y,y,ecto,mear,,8
1992,5pgrass,1,3,4,80,disp,26250,m,y,y,y,y,si,unne,,2
1992,5pgrass,1,3,4,113,pgfv,26251,m,y,n,y,n,feces,nega,,
1992,5pgrass,1,3,4,11,neal,26252,m,y,y,y,n,feces,nega,,
1992,5pgrass,1,3,4,11,neal,26252,m,y,y,y,n,ecto,orag,,7
1992,5pgrass,1,3,4,119,dior,26253,m,y,n,y,y,feces,nega,,
1992,5pgrass,1,3,4,119,dior,26253,m,y,n,y,y,cc,trel,m,3
1992,5pgrass,1,3,4,119,dior,26253,m,y,n,y,y,cc,trel,f,6
1992,5pgrass,1,3,4,12,pgfv,26254,m,y,n,y,n,feces,eree,,
1992,5pgrass,2,1,1,131,pmtr,28125,m,y,y,y,n,feces,espp,,
1992,5pgrass,2,1,1,131,pmtr,28125,m,y,y,y,n,ecto,orle,,
1992,5pgrass,2,1,1,47,pgfv,28126,m,y,n,y,n,feces,nega,,
1992,5pgrass,2,1,1,55,dior,28127,m,y,n,y,y,feces,nega,,
1992,5pgrass,2,1,1,55,dior,28127,m,y,n,y,y,si,unce,,1
1992,5pgrass,2,1,1,86,spsp,28128,m,y,n,y,y,cc,citr,f,5
1992,5pgrass,2,1,1,86,spsp,28128,m,y,n,y,y,cc,citr,m,19
1992,5pgrass,2,1,1,86,spsp,28128,m,y,n,y,y,si,hesp,f,1
1992,5pgrass,2,1,1,86,spsp,28128,m,y,n,y,y,feces,nega,,
1992,5pgrass,2,1,1,86,spsp,28128,m,y,n,y,y,st,phma,f,1
1992,5pgrass,2,1,1,96,pgfv,28129,f,y,n,y,n,feces,nega,,
1992,5pgrass,2,1,1,10,or,28130,f,y,n,y,n,feces,nega,,
1992,5pgrass,2,1,1,11,disp,28131,m,y,n,y,y,feces,esch,,
1992,5pgrass,2,1,1,12,pgfv,28132,m,y,n,y,n,feces,nega,,
1992,5pgrass,2,1,1,14,dior,28133,m,y,n,y,n,feces,nega,,
1992,5pgrass,2,1,4,29,or,28134,m,y,n,y,y,feces,nega,,
1992,5pgrass,2,1,4,29,or,28134,m,y,n,y,y,st,nema,,
1992,5pgrass,2,1,4,29,or,28134,m,y,n,y,y,si,nema,,
1992,5pgrass,2,1,4,34,dior,28135,m,y,n,y,y,feces,nega,,
1992,5pgrass,2,1,4,34,dior,28135,m,y,n,y,y,cc,trsp,m,1
1992,5pgrass,2,1,4,45,spsp,28136,m,y,n,y,y,si,hesp,f,4
1992,5pgrass,2,1,4,45,spsp,28136,m,y,n,y,y,feces,nega,,
1992,5pgrass,2,1,4,77,or,28137,f,y,n,y,y,si,cest,,
1992,5pgrass,2,1,4,77,or,28137,f,y,n,y,y,feces,nega,,
1992,5pgrass,2,1,4,77,or,28137,f,y,n,y,y,st,nema,,
1992,5pgrass,2,1,4,93,pgfv,28138,m,y,n,y,n,feces,nega,,
1992,5pgrass,2,2,1,31,remn,28139,m,y,n,y,n,feces,nega,,
1992,5pgrass,2,2,1,52,dior,28140,f,y,n,y,n,feces,nega,,
1992,5pgrass,2,2,1,77,pgfv,28141,f,y,n,y,n,feces,nega,,
1992,5pgrass,2,2,1,81,remn,28142,m,y,n,y,n,feces,nega,,
1992,5pgrass,2,2,1,10,pgfv,28143,m,y,n,y,n,feces,nega,,
1992,5pgrass,2,2,4,18,spsp,28144,m,y,n,y,n,feces,echo,,
1992,5pgrass,2,2,4,75,or,28145,f,y,n,y,y,si,mocl,,1
1992,5pgrass,2,2,4,75,or,28145,f,y,n,y,y,feces,nega,,
1992,5pgrass,2,2,4,75,or,28145,f,y,n,y,y,st,nema,,
1992,5pgrass,2,2,4,10,disp,28146,m,y,n,y,y,cc,hede,m,1
1992,5pgrass,2,2,4,10,disp,28146,m,y,n,y,y,cc,hede,f,1
1992,5pgrass,2,2,4,10,disp,28146,m,y,n,y,y,si,hysp,,2
1992,5pgrass,2,2,4,10,disp,28146,m,y,n,y,y,feces,nega,,
1992,5pgrass,2,3,1,22,pgfv,28151,m,y,n,y,n,feces,nega,,
1992,5pgrass,2,3,1,35,spsp,28152,m,y,n,y,n,feces,nega,,
1992,5pgrass,2,3,1,71,pgfv,28153,f,y,n,y,n,feces,nega,,
1992,5pgrass,2,3,1,12,spsp,28154,m,y,n,y,n,feces,nega,,
1992,5pgrass,2,3,4,5,remn,28155,f,y,n,y,n,feces,nega,,
1992,5pgrass,2,3,4,12,remn,28156,f,y,n,y,n,feces,nega,,
1992,5pgrass,2,3,4,12,disp,28157,m,y,n,y,y,cc,hede,m,2
1992,5pgrass,2,3,4,12,disp,28157,m,y,n,y,y,cc,hede,f,4
1992,5pgrass,2,3,4,12,disp,28157,m,y,n,y,y,si,hysp,,1
1992,5pgrass,2,3,4,12,disp,28157,m,y,n,y,y,feces,nega,,
1992,5pgrass,2,3,4,12,sihi,28158,f,y,n,y,n,feces,nega,,
1993,5pgrass,1,1,1,13,disp,26834,f,y,y,y,y,ecto,ecga,,
1993,5pgrass,1,1,1,13,disp,26834,f,y,y,y,y,feces,nega,,
1993,5pgrass,1,1,1,13,disp,26834,f,y,y,y,y,cc,trsp,f,2
1993,5pgrass,1,1,1,84,dior,26835,f,y,n,y,n,feces,nega,,
1993,5pgrass,1,1,1,70,remn,26836,m,y,n,y,n,feces,eari,,
1993,5pgrass,1,1,1,10,disp,26837,f,y,n,y,y,cc,hede,m,30
1993,5pgrass,1,1,1,10,disp,26837,f,y,n,y,y,cc,hede,f,143
1993,5pgrass,1,1,1,10,disp,26837,f,y,n,y,y,feces,nega,,
1993,5pgrass,1,1,4,24,disp,26838,m,y,n,y,n,feces,nega,,
1993,5pgrass,1,1,4,26,pgfv,26839,f,y,n,y,n,feces,nega,,
1993,5pgrass,1,1,4,38,pgfv,26840,m,y,n,y,n,feces,nega,,
1993,5pgrass,1,1,4,74,disp,26841,f,y,n,y,y,feces,nega,,
1993,5pgrass,1,1,4,74,disp,26841,f,y,n,y,y,cc,trdi,m,1
1993,5pgrass,1,1,4,74,disp,26841,f,y,n,y,y,cc,trdi,f,3
1993,5pgrass,1,1,4,76,dior,26842,m,y,n,y,y,feces,nega,,
1993,5pgrass,1,1,4,76,dior,26842,m,y,n,y,y,cc,trsp,m,1
1993,5pgrass,1,1,4,76,dior,26842,m,y,n,y,y,cc,trsp,f,1
1993,5pgrass,1,1,4,77,pmtr,26843,f,y,n,y,n,feces,elac,,
1993,5pgrass,1,1,4,10,pgfv,26844,m,y,n,y,n,feces,nega,,
1993,5pgrass,1,1,4,11,disp,26845,f,y,n,y,y,cc,hede,f,14
1993,5pgrass,1,1,4,11,disp,26845,f,y,n,y,y,si,hysp,,1
1993,5pgrass,1,1,4,11,disp,26845,f,y,n,y,y,feces,nega,,
1993,5pgrass,1,1,4,12,disp,26846,f,y,n,y,y,cc,hede,f,1
1993,5pgrass,1,1,4,12,disp,26846,f,y,n,y,y,feces,nega,,
1993,5pgrass,1,1,4,12,disp,26846,f,y,n,y,y,cc,trsp,f,1
1993,5pgrass,1,1,4,13,pmdi,26847,m,y,n,y,n,feces,nega,,
1993,5pgrass,1,2,1,10,pgfv,26848,f,y,n,y,n,feces,nega,,
1993,5pgrass,1,2,1,54,pgfv,26849,m,y,n,y,n,feces,nega,,
1993,5pgrass,1,2,1,59,dior,26850,m,y,n,y,y,cc,hede,f,3
1993,5pgrass,1,2,1,59,dior,26850,m,y,n,y,y,feces,nega,,
1993,5pgrass,1,2,1,14,pgfv,26851,m,y,n,y,n,feces,nega,,
1993,5pgrass,1,2,4,35,dior,26852,m,y,n,y,y,feces,nega,,
1993,5pgrass,1,2,4,35,dior,26852,m,y,n,y,y,cc,trel,f,3
1993,5pgrass,1,2,4,35,dior,26852,m,y,n,y,y,cc,trel,m,5
1993,5pgrass,1,2,4,96,spsp,26853,m,y,n,y,y,cc,citr,f,2
1993,5pgrass,1,2,4,96,spsp,26853,m,y,n,y,y,cc,citr,m,1
1993,5pgrass,1,2,4,96,spsp,26853,m,y,n,y,y,si,hesp,f,1
1993,5pgrass,1,2,4,96,spsp,26853,m,y,n,y,y,feces,nega,,
1993,5pgrass,1,3,4,17,or,26854,f,n,n,y,y,si,hyns,,
1993,5pgrass,1,3,4,17,or,26854,f,n,n,y,y,st,madi,f,2
1993,5pgrass,1,3,4,17,or,26854,f,n,n,y,y,feces,,,
1993,5pgrass,1,3,4,17,or,26854,f,n,n,y,y,st,prsp,,
1993,5pgrass,1,3,4,22,dior,26855,m,y,n,y,n,feces,nega,,
1993,5pgrass,1,3,4,36,spsp,26856,m,y,n,y,y,cc,cisp,f,1
1993,5pgrass,1,3,4,36,spsp,26856,m,y,n,y,y,si,hesp,m,1
1993,5pgrass,1,3,4,36,spsp,26856,m,y,n,y,y,si,hesp,f,3
1993,5pgrass,1,3,4,36,spsp,26856,m,y,n,y,y,si,hysp,,1
1993,5pgrass,1,3,4,36,spsp,26856,m,y,n,y,y,feces,nega,,
1993,5pgrass,1,3,4,36,spsp,26856,m,y,n,y,y,si,phma,f,4
1993,5pgrass,1,3,4,36,spsp,26856,m,y,n,y,y,si,phma,m,1
1993,5pgrass,1,3,4,36,spsp,26856,m,y,n,y,y,cc,susp,f,1
1993,5pgrass,1,3,4,36,spsp,26856,m,y,n,y,y,cc,susp,m,1
1993,5pgrass,1,3,4,62,pmtr,26857,f,y,n,y,y,feces,eari,,
1993,5pgrass,1,3,4,62,pmtr,26857,f,y,n,y,y,si,oosp,,1
1993,5pgrass,1,3,4,68,pmtr,26858,f,y,n,y,n,feces,nega,,
1993,5pgrass,1,3,4,14,remg,26859,m,y,n,y,n,feces,nega,,
1993,5pgrass,1,3,1,64,pmtr,26860,m,y,n,y,y,feces,nega,,
