DBCODE,ENTITY,COMPLEX,MEADOW,PLOT_ID,YEAR,SAMPLEDATE,WATCH,OBSERVER,PLOT,START_TIME,END_TIME,MINUTE,CLOUDS,WIND,TEMP,PPI_STATUS,NO_INT,PLTSP_CODE,PLTSP_NAME,VISSP_CODE,VISSP_NAME,VISSP_TYPE,REF_NO,VISSP_NO,QC_NOTES
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,01,S,ST,,1,2,"ACHIMILL","Achillea millefolium","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,01,S,ST,,1,1,"ACHIMILL","Achillea millefolium","EVYLS5M","Evylaeus sp 5M","halictine bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,01,S,ST,,1,2,"ERIGFOLI","Erigeron foliosus","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,01,S,ST,,1,2,"ERIGFOLI","Erigeron foliosus","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",2,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,01,S,ST,,1,2,"ERIGFOLI","Erigeron foliosus","TRICORNA","Trichodes ornatus","bee-parasitic beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,02,S,ST,,1,1,"ACHIMILL","Achillea millefolium","ANTHASP1","Anthaxia sp 1","herbivorous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,02,S,ST,,1,1,"ACHIMILL","Achillea millefolium","ERISHIRT","Eristalis hirtus","decomposer hover-fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,02,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","SYRPRIBE","Syrphus ribesii","predaceous hover-fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,03,S,ST,,1,2,"ERIGFOLI","Erigeron foliosus","BOMBMIXT","Bombus mixtus","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,03,S,ST,,1,2,"ERIGFOLI","Erigeron foliosus","DIALSPX9","Dialictus sp 9","halictine bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-07-24,2,"NA",1,NA,NA,03,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","MUSCGEN1","Muscoid genus 1","herbivorous muscoid fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"NA",1,NA,NA,01,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","SYRPRIBE","Syrphus ribesii","predaceous hover-fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"NA",1,NA,NA,02,S,ST,,1,4,"ERIGFOLI","Erigeron foliosus","BLERSCIT","Blera scitula","decomposer hover-fly","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"NA",1,NA,NA,02,S,ST,,1,1,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"NA",1,NA,NA,02,S,ST,,1,2,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",2,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"NA",1,NA,NA,02,S,ST,,1,4,"ERIGFOLI","Erigeron foliosus","EPICPUNC","Epicauta puncticollis","predaceous beetle","NA",3,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"NA",1,NA,NA,02,S,ST,,1,4,"ERIGFOLI","Erigeron foliosus","EVYLSPX2","Evylaeus sp 2","halictine bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"NA",1,NA,NA,03,S,ST,,1,2,"LUPILAXI","Lupinus laxiflorus","OSMISP19","Osmia sp 19","solitary bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,01,S,BR,,1,1,"CIRSCALL","Cirsium callilepis","APISMELL","Apis mellifera","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,01,S,BR,,1,1,"CIRSCALL","Cirsium callilepis","APISMELL","Apis mellifera","social bee","NA",2,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,01,S,BR,,1,1,"CIRSCALL","Cirsium callilepis","HESPCOLO","Hesperia colorado","herbivorous butterfly; diurnal","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,02,S,BR,,1,1,"ACHIMILL","Achillea millefolium","AMMOSPX1","Ammophila sp 1","predaceous wasp","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,02,S,BR,,1,3,"CIRSCALL","Cirsium callilepis","APISMELL","Apis mellifera","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,02,S,BR,,1,3,"CIRSCALL","Cirsium callilepis","APISMELL","Apis mellifera","social bee","NA",2,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,02,S,BR,,1,3,"CIRSCALL","Cirsium callilepis","APISMELL","Apis mellifera","social bee","NA",3,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,02,S,BR,,1,3,"CIRSCALL","Cirsium callilepis","APISMELL","Apis mellifera","social bee","NA",4,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,02,S,BR,,1,3,"CIRSCALL","Cirsium callilepis","BOMBBIFA","Bombus bifarius","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,02,S,BR,,1,3,"CIRSCALL","Cirsium callilepis","BOMBBIFA","Bombus bifarius","social bee","NA",2,""
SA026,1,"Bunchgrass",BD,BGD01,2011,2011-08-13,4,"NA",1,NA,NA,03,S,BR,,1,1,"CIRSCALL","Cirsium callilepis","BOMBBIFA","Bombus bifarius","social bee","NA",1,""
SA026,1,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,1234,NA,01,PC,ST,,1,1,"FRAGVIRG","Fragaria virginiana","MUSCGEN3","Muscoid genus 3","herbivorous muscoid fly","NA",1,""
