DBCODE,ENTITY,COMPLEX,MEADOW,PLOT_ID,YEAR,SAMPLEDATE,WATCH,OBSERVER,PLOT,FLW_STATUS,PLTSP_CODE,PLTSP_NAME,NO_STALK,NO_FLWS,QC_NOTES
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-07-20,1,"ND",1,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-07-25,2,"Andy",1,FLW,"ACHIMILL","Achillea millefolium",4,36.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-07-25,2,"Andy",1,FLW,"ERIGFOLI","Erigeron foliosus",14,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-07-25,2,"Andy",1,FLW,"VICIAMER","Vicia americana",3,2.3,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"Andy, Tim",1,FLW,"ACHIMILL","Achillea millefolium",2,26.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"Andy, Tim",1,FLW,"ERIGFOLI","Erigeron foliosus",40,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"Andy, Tim",1,FLW,"LUPILAXI","Lupinus laxiflorus",1,7.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"Andy, Tim",1,FLW,"ORTHIMBR","Orthocarpus imbricatus",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-02,3,"Andy, Tim",1,FLW,"VICIAMER","Vicia americana",10,1.7,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-15,4,"Vera",1,FLW,"ACHIMILL","Achillea millefolium",16,39.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-15,4,"Vera",1,FLW,"CIRSCALL","Cirsium callilepis",1,2.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-15,4,"Vera",1,FLW,"ERIGFOLI","Erigeron foliosus",71,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-15,4,"Vera",1,FLW,"HIERCYNO","Hieracium cynoglossoides",2,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-15,4,"Vera",1,FLW,"ORTHIMBR","Orthocarpus imbricatus",96,5.0,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-08-22,5,"Vera",1,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD01,2011,2011-09-12,6,"Vera",1,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,FLW,"FRAGVIRG","Fragaria virginiana",26,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-06-29,1,"Vera",1,FLW,"IRISCHRY","Iris chrysophylla",5,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-07-12,2,"Brian/Andy",1,FLW,"ACHIMILL","Achillea millefolium",1,65.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-07-12,2,"Brian/Andy",1,FLW,"CALOSUBA","Calochortus subalpinus",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-07-12,2,"Brian/Andy",1,FLW,"PHACHAST","Phacelia hastata",1,5.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-07-12,2,"Brian/Andy",1,FLW,"VICIAMER","Vicia americana",2,1.3,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,FLW,"ACHIMILL","Achillea millefolium",12,67.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,FLW,"ERIGFOLI","Erigeron foliosus",38,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,FLW,"GALIOREG","Galium oreganum",18,6.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,FLW,"PHACHAST","Phacelia hastata",8,8.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-01,3,"Andy",1,FLW,"SYMPMOLL","Symphoricarpos mollis",13,10.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"ACHIMILL","Achillea millefolium",12,58.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"AGOSAURA","Agoseris aurantiaca",11,2.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"ASTELEDO","Aster ledophyllus",2,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"CAMPSCOU","Campanula scouleri",39,2.5,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"CIRSCALL","Cirsium callilepis",2,2.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-07,4,"Andy",1,FLW,"ERIGFOLI","Erigeron foliosus",14,1.3,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-14,5,"Andy",1,FLW,"ACHIMILL","Achillea millefolium",9,32.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-14,5,"Andy",1,FLW,"AGOSAURA","Agoseris aurantiaca",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-14,5,"Andy",1,FLW,"ASTELEDO","Aster ledophyllus",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-14,5,"Andy",1,FLW,"CIRSCALL","Cirsium callilepis",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD01,2012,2012-08-14,5,"Andy",1,FLW,"ORTHIMBR","Orthocarpus imbricatus",1,3.0,""
SA026,2,"Bunchgrass",BD,BGD02,2011,2011-07-20,1,"ND",2,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD02,2011,2011-07-25,2,"Andy",2,FLW,"ACHIMILL","Achillea millefolium",2,36.0,""
SA026,2,"Bunchgrass",BD,BGD02,2011,2011-07-25,2,"Andy",2,FLW,"ERIGFOLI","Erigeron foliosus",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD02,2011,2011-08-02,3,"Andy, Tim",2,FLW,"ACHIMILL","Achillea millefolium",1,27.0,""
SA026,2,"Bunchgrass",BD,BGD02,2011,2011-08-02,3,"Andy, Tim",2,FLW,"ERIGFOLI","Erigeron foliosus",35,1.0,""
SA026,2,"Bunchgrass",BD,BGD02,2011,2011-08-02,3,"Andy, Tim",2,FLW,"ORTHIMBR","Orthocarpus imbricatus",2,2.0,""
SA026,2,"Bunchgrass",BD,BGD02,2011,2011-08-15,4,"Vera",2,FLW,"ERIGFOLI","Erigeron foliosus",42,1.0,""
SA026,2,"Bunchgrass",BD,BGD02,2011,2011-08-15,4,"Vera",2,FLW,"ORTHIMBR","Orthocarpus imbricatus",123,4.0,""
SA026,2,"Bunchgrass",BD,BGD02,2011,2011-08-22,5,"Vera",2,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD02,2011,2011-09-12,6,"Vera",2,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-06-29,1,"Mark",2,FLW,"FRAGVIRG","Fragaria virginiana",3,1.4,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-06-29,1,"Mark",2,FLW,"IRISCHRY","Iris chrysophylla",59,1.0,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-06-29,1,"Mark",2,FLW,"PHLODIFF","Phlox diffusa",6,42.0,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-07-12,2,"Brian/Andy",2,FLW,"ERIGFOLI","Erigeron foliosus",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-07-12,2,"Brian/Andy",2,FLW,"LUPILAXI","Lupinus laxiflorus",2,3.7,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-07-12,2,"Brian/Andy",2,FLW,"PHLOGRAC","Phlox gracilis",1,1.0,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-07-12,2,"Brian/Andy",2,FLW,"VICIAMER","Vicia americana",2,3.5,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-01,3,"Andy",2,FLW,"ACHIMILL","Achillea millefolium",6,67.0,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-01,3,"Andy",2,FLW,"CIRSCALL","Cirsium callilepis",2,1.0,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-01,3,"Andy",2,FLW,"ERIGFOLI","Erigeron foliosus",17,1.0,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-01,3,"Andy",2,FLW,"ORTHIMBR","Orthocarpus imbricatus",36,3.0,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-07,4,"Andy",2,FLW,"ACHIMILL","Achillea millefolium",1,59.0,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-07,4,"Andy",2,FLW,"CIRSCALL","Cirsium callilepis",16,1.3,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-07,4,"Andy",2,FLW,"ERIGFOLI","Erigeron foliosus",85,1.7,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-07,4,"Andy",2,FLW,"ORTHIMBR","Orthocarpus imbricatus",6,4.0,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-14,5,"Andy",2,FLW,"CIRSCALL","Cirsium callilepis",26,3.5,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-14,5,"Andy",2,FLW,"ERIGFOLI","Erigeron foliosus",26,2.4,""
SA026,2,"Bunchgrass",BD,BGD02,2012,2012-08-14,5,"Andy",2,FLW,"ORTHIMBR","Orthocarpus imbricatus",11,4.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-07-20,1,"ND",3,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-07-24,2,"NA",3,NA,"AQUIFORM","Aquilegia formosa",,,"recoded added based on occurrence in entity 1"
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-07-25,2,"Andy",3,FLW,"ACHIMILL","Achillea millefolium",3,36.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-07-25,2,"Andy",3,FLW,"ERIGFOLI","Erigeron foliosus",5,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-07-25,2,"Andy",3,FLW,"FRAGVIRG","Fragaria virginiana",3,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-07-25,2,"Andy",3,FLW,"GALIOREG","Galium oreganum",12,2.5,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-07-25,2,"Andy",3,FLW,"LUPILAXI","Lupinus laxiflorus",1,2.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-07-25,2,"Andy",3,FLW,"VICIAMER","Vicia americana",5,6.5,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-02,3,"Andy, Tim",3,FLW,"ACHIMILL","Achillea millefolium",6,28.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-02,3,"Andy, Tim",3,FLW,"AQUIFORM","Aquilegia formosa",1,1.0,"change on watch: from 2 to 3 because the same sampledate had multiple watches"
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-02,3,"Andy, Tim",3,FLW,"ERIGFOLI","Erigeron foliosus",38,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-02,3,"Andy, Tim",3,FLW,"LUPILAXI","Lupinus laxiflorus",1,4.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-02,3,"Andy, Tim",3,FLW,"ORTHIMBR","Orthocarpus imbricatus",135,2.3,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-15,4,"Vera",3,FLW,"ACHIMILL","Achillea millefolium",5,52.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-15,4,"Vera",3,FLW,"ERIGFOLI","Erigeron foliosus",30,1.2,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-15,4,"Vera",3,FLW,"HIERCYNO","Hieracium cynoglossoides",4,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-15,4,"Vera",3,FLW,"ORTHIMBR","Orthocarpus imbricatus",230,5.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-22,5,"Vera",3,FLW,"ACHIMILL","Achillea millefolium",3,24.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-22,5,"Vera",3,FLW,"ERIGFOLI","Erigeron foliosus",14,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-22,5,"Vera",3,FLW,"GALIOREG","Galium oreganum",1,6.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-08-22,5,"Vera",3,FLW,"ORTHIMBR","Orthocarpus imbricatus",195,9.0,""
SA026,2,"Bunchgrass",BD,BGD03,2011,2011-09-12,6,"Vera",3,NA,"","",,,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-06-29,1,"Vera",3,FLW,"CALOSUBA","Calochortus subalpinus",32,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-06-29,1,"Mark",3,FLW,"FRAGVIRG","Fragaria virginiana",5,1.4,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-06-29,1,"Vera",3,FLW,"IRISCHRY","Iris chrysophylla",5,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-06-29,1,"Vera",3,FLW,"PHLODIFF","Phlox diffusa",1,45.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-07-12,2,"Brian/Andy",3,FLW,"ACHIMILL","Achillea millefolium",1,32.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-07-12,2,"Brian/Andy",3,FLW,"CALOSUBA","Calochortus subalpinus",55,1.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-07-12,2,"Brian/Andy",3,FLW,"LUPILAXI","Lupinus laxiflorus",12,11.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-07-12,2,"Brian/Andy",3,FLW,"PENSPROC","Penstemon procerus",3,11.0,""
SA026,2,"Bunchgrass",BD,BGD03,2012,2012-08-01,3,"Andy",3,FLW,"ACHIMILL","Achillea millefolium",2,37.0,""
